id,title,servings,prep_minutes,cook_minutes,difficulty,meal_type,primary_equipment,selection_notes,source_name,source_url,source_license,review_status
1,20-Minute Beef Stroganoff,4,5,15,easy,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:20-Minute_Beef_Stroganoff,CC BY-SA 4.0,needs_quantity_standardization
2,African Cabbage Stew,4,15,30,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:African_Cabbage_Stew,CC BY-SA 4.0,needs_quantity_standardization
3,Agnolotti Pasta Soup (Agnolotti in Brodo),2,5,10,very_easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Agnolotti_Pasta_Soup_(Agnolotti_in_Brodo),CC BY-SA 4.0,needs_quantity_standardization
4,Albanian Fried Meatballs,4,15,30,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Albanian_Fried_Meatballs,CC BY-SA 4.0,needs_quantity_standardization
5,Albanian Mixed Vegetables,4,15,30,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Albanian_Mixed_Vegetables,CC BY-SA 4.0,needs_quantity_standardization
6,Chicken Curry,8,15,75,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Chicken_Curry,CC BY-SA 4.0,needs_quantity_standardization
7,Black Bean Stir-Fry,4,15,20,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Black_Bean_Stir-Fry,CC BY-SA 4.0,needs_quantity_standardization
8,Greek Moussaka,4,15,30,medium,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Greek_Moussaka,CC BY-SA 4.0,needs_quantity_standardization
9,Potato and Chicken Stew (Ajiaco),8,15,75,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Potato_and_Chicken_Stew_(Ajiaco),CC BY-SA 4.0,needs_quantity_standardization
10,Easy Chicken Soup,4,15,30,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Easy_Chicken_Soup,CC BY-SA 4.0,needs_quantity_standardization
11,Kung Pao Chicken,4,10,10,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Kung_Pao_Chicken,CC BY-SA 4.0,needs_quantity_standardization
12,Three Sisters Stew,4,15,30,medium,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Three_Sisters_Stew,CC BY-SA 4.0,needs_quantity_standardization
