recipe_id,recipe_name,seasoners
1,20-Minute Beef Stroganoff,"Salt, Black pepper, Paprika"
2,African Cabbage Stew,"Cayenne / red pepper, Paprika, Cumin, Curry powder, Thyme, Rosemary, Italian seasoning, Bouillon / stock, Onion powder, Garlic powder / paste"
3,Agnolotti Pasta Soup (Agnolotti in Brodo),"Black pepper, Bouillon / stock, Wine / beer / liqueur"
4,Albanian Fried Meatballs,"Salt, Oregano, Mint"
5,Albanian Mixed Vegetables,"Salt, Bouillon / stock"
6,Chicken Curry,"Salt, Paprika, Cumin, Coriander, Turmeric, Curry powder, Garam masala, Cinnamon, Ginger, Fennel seeds, Mustard, Mint, Fenugreek, Garlic powder / paste, Cayenne / red pepper"
7,Black Bean Stir-Fry,"Cayenne / red pepper, Ginger, Cloves, Soy sauce, Bouillon / stock, Wine / beer / liqueur, Cornstarch, Fermented black beans"
8,Greek Moussaka,"Salt, Black pepper, Cinnamon, Nutmeg, Cloves, Wine / beer / liqueur, Tomato paste"
9,Potato and Chicken Stew (Ajiaco),"Salt, Black pepper, Cumin, Thyme, Cloves, Bay leaves, Pickles / capers, Bouillon / stock, Tomato paste"
10,Easy Chicken Soup,"Salt, Black pepper, Thyme, Cloves, Rosemary, Bouillon / stock"
11,Kung Pao Chicken,"Cayenne / red pepper, Soy sauce, Oyster sauce, Hoisin sauce, Vinegar, Bouillon / stock, Wine / beer / liqueur, Cornstarch, Garlic powder / paste"
12,Three Sisters Stew,"Salt, Black pepper, Cumin, Oregano, Cloves, Bouillon / stock"
13,Spaghetti and Meatballs,"Salt, Black pepper, Cayenne / red pepper, Cloves, Bouillon / stock, Onion powder, Garlic powder / paste"
14,Tagliatelle Bake,"Salt, Nutmeg, Wine / beer / liqueur"
15,Pineapple Teriyaki,"Salt, Cloves, Teriyaki sauce, Cornstarch"
16,Curry Chicken I,"Salt, Black pepper, Cayenne / red pepper, Coriander, Curry powder, Garam masala, Cloves"
17,Tofu in Spiced Coconut Sauce,"Salt, Cumin, Coriander, Saffron, Cardamom, Cloves, Bay leaves, Currants, Coconut flakes"
18,Tom Kha Kai,"Ginger, Lemongrass, Galangal, Soy sauce, Bouillon / stock"
19,BBQ Pork Fried Rice,"Salt, Cayenne / red pepper, Ginger, Cloves, Soy sauce, Oyster sauce, Hoisin sauce, Barbecue sauce, Pickles / capers, Bouillon / stock"
20,Traditional Lasagne,"Salt, Black pepper, Oregano, Cloves, Wine / beer / liqueur"
21,Chickpea Stew,"Salt, Black pepper, Cumin, Coriander, Turmeric, Garam masala, Cloves, Soy sauce, Bouillon / stock"
22,Chicken and Black-eyed Pea Stew,"Salt, Black pepper, Curry powder, Ginger, Cloves, Bouillon / stock"
23,Beef and Barley Stew,"Salt, Paprika, Thyme, Cloves, Bay leaves, Marjoram, Worcestershire sauce, Bouillon / stock, Tomato paste"
24,Maffé (West African Peanut Stew) I,"Salt, Black pepper, Paprika, Cumin, Cloves, Bouillon / stock, Cayenne / red pepper"
25,Entula (Ugandan Eggplant Stew),"Salt, Black pepper, Cumin, Coriander, Turmeric, Curry powder, Ginger, Cloves, Bouillon / stock, Cayenne / red pepper"
26,Couscous bil Khodra (Libyan Vegetable Couscous),"Salt, Paprika, Cumin, Coriander, Turmeric, Cloves, Bouillon / stock, Pine nuts"
27,Pad Thai,"Coriander, Cloves, Fish sauce, Vinegar, Tamarind, Palm sugar, Cayenne / red pepper"
28,Tofu Tamale Pie,"Salt, Black pepper, Bouillon / stock, Tomato juice, Garlic salt, Cornmeal, Cayenne / red pepper"
29,Chicken Quesadilla,"Salt, Black pepper, Cayenne / red pepper, Dill, Teriyaki sauce"
30,Tibs (Ethiopian Sauteed Meat and Vegetables),"Salt, Black pepper, Cayenne / red pepper, Paprika, Cumin, Cloves, Berbere spice blend"
31,Hot and Sour Soup,"Black pepper, Soy sauce, Vinegar, Bouillon / stock, Cornstarch, Garlic chili sauce"
32,Yetakelt Wot (Ethiopian Spiced Vegetable Stew),"Salt, Cayenne / red pepper, Paprika, Cumin, Turmeric, Ginger, Cloves, Berbere spice blend, Bouillon / stock"
33,Spaghetti Pie,"Oregano, Cloves, Tomato paste"
34,Spicy Roast Brisket,"Salt, Black pepper, Cumin, Oregano, Cloves, Mustard, Vinegar, Bouillon / stock, Wine / beer / liqueur"
35,Chicken Alfredo,"Cayenne / red pepper, Oregano, Thyme, Garlic powder / paste"
36,Chipotle Chili,"Salt, Cumin, Cloves, Bouillon / stock, Wine / beer / liqueur, Tomato paste, Cayenne / red pepper"
37,Alicha Wot (Mild Ethiopian Stew),"Salt, Black pepper, Cumin, Coriander, Turmeric, Ginger, Cloves, Berbere spice blend, Bouillon / stock, Tomato paste"
38,Jambalaya II,"Salt, Paprika, Thyme, Cloves, Bouillon / stock"
39,Cioppino (Italian Seafood Stew),"Salt, Cayenne / red pepper, Cloves, Bay leaves, Wine / beer / liqueur, Tomato paste"
40,Baked Penne,"Salt, Black pepper, Tomato paste, Cream of tartar"
41,Nasi Goreng (Indonesian Fried Rice),"Salt, Black pepper, Cayenne / red pepper, Soy sauce"
42,Kari Ayam (Indonesian Chicken Curry),"Salt, Turmeric, Ginger, Cloves, Lemongrass, Galangal, Kaffir lime leaves, Palm sugar, Shrimp paste"
43,Chicken Cacciatore,"Salt, Oregano, Bay leaves, Bouillon / stock, Wine / beer / liqueur, Garlic powder / paste, Tomato paste"
44,Fasolia (Ethiopian Green Bean Stew),"Salt, Cayenne / red pepper, Paprika, Cumin, Coriander, Turmeric, Cloves, Berbere spice blend"
45,Cape Malay Butter Chicken,"Salt, Black pepper, Cayenne / red pepper, Cinnamon, Ginger, Cardamom, Cloves, Mint, Ginger-garlic paste"
46,Paprika Chicken,"Salt, Black pepper, Paprika"
47,Chicken Fried Rice,"Salt, Cloves, Oyster sauce, Worcestershire sauce, Pickles / capers"
48,Peri-Peri Chicken,"Salt, Black pepper, Paprika, Thyme, Cloves, Vinegar, Bouillon / stock"
49,Kedjenou Chicken (Chicken and Vegetable Stew),"Salt, Black pepper, Paprika, Thyme, Ginger, Bouillon / stock"
50,Lentil and Sausage Stew,"Salt, Cloves, Bay leaves, Vinegar, Wine / beer / liqueur, Tomato paste"
51,Buttermilk Fried Chicken with Pan Gravy,"Salt, Black pepper, Cayenne / red pepper, Paprika, Coriander, Oregano, Thyme, Cinnamon, Mustard, Bouillon / stock"
52,Galician Garbanzo Soup,"Salt, Black pepper, Cayenne / red pepper, Cumin, Saffron, Mustard, Bay leaves, Vinegar, Bouillon / stock, Wine / beer / liqueur"
53,Black Bean Chili,"Salt, Cayenne / red pepper, Paprika, Cumin, Oregano, Cloves, Vinegar, Bouillon / stock, Wine / beer / liqueur"
54,Egyptian Lentil Soup,"Salt, Black pepper, Paprika, Cumin, Coriander, Turmeric, Cloves, Bouillon / stock"
55,Garbanzo Bean Stew,"Salt, Black pepper, Cayenne / red pepper, Paprika, Saffron, Cloves, Hot sauce, Bouillon / stock, Wine / beer / liqueur"
56,Tuna Noodle Casserole,Hot sauce
57,Corn Chowder I,"Salt, Black pepper, Paprika, Thyme, Bouillon / stock"
58,Fisherman's Casserole,"Salt, Mustard"
59,General Tso's Chicken,"Ginger, Soy sauce, Vinegar, Bouillon / stock, Wine / beer / liqueur, Cornstarch"
60,Saffron Rice and Beans,"Cayenne / red pepper, Paprika, Cumin, Curry powder, Oregano, Saffron, Cloves, Bouillon / stock, Wine / beer / liqueur, Pine nuts"
61,Pasta and Bean Soup,"Salt, Black pepper, Cayenne / red pepper, Cloves, Rosemary, Bouillon / stock, Wine / beer / liqueur"
62,Puerto Rican Chicken Soup (Asopao),"Salt, Black pepper, Oregano, Cloves, Bouillon / stock, Wine / beer / liqueur"
63,Hamburger Deluxe,"Salt, Black pepper, Cumin, Cloves, Mustard, Worcestershire sauce, Barbecue sauce"
64,Liberian Eggplant Stew,"Salt, Black pepper, Cloves, Bouillon / stock"
65,Tofu Saltado,"Cumin, Coriander, Cloves, Mint, Soy sauce, Vinegar, Wine / beer / liqueur, Crispy chili oil"
66,Cinnamon Chicken,"Salt, Black pepper, Cinnamon, Cloves, Vinegar"
67,Hearty Beef Vegetable Soup,Bouillon / stock
68,Ratatouille I,"Salt, Black pepper"
69,Egyptian Stuffed Eggplant (Mahshi Betinjan),"Salt, Black pepper, Paprika, Cumin, Cinnamon, Cloves, Mint, Dill, Tomato paste"
70,Mesir Wat (Spicy Ethiopian Lentil Stew),"Salt, Black pepper, Cumin, Turmeric, Cloves, Berbere spice blend, Tomato paste"
71,Taco Salad,"Salt, Tortilla chips, Cayenne / red pepper"
72,Almond Pancakes,"Salt, Vinegar, Baking powder / soda, Almond extract"
73,Baked Oatmeal,"Salt, Cinnamon, Baking powder / soda"
74,Blueberry Pancakes,"Salt, Cinnamon, Nutmeg, Baking powder / soda, Vanilla extract, Cream of tartar"
75,Oatmeal Banana Waffle,Salt
76,Apple Crisp I,"Cinnamon, Ginger, Nutmeg"
77,Easy Peach Cobbler,Baking powder / soda
78,Strawberry Frozen Yogurt,Wine / beer / liqueur
79,Panna Cotta (Basic),"Salt, Vinegar, Gelatin, Vanilla essence"
