recipe_id,preparation_instructions
1,"Prepare noodles according to package directions and drain.
As the noodles are boiling, warm oil in very deep skillet or Dutch oven over medium heat.
Add mushrooms and onions and cook until onion is soft, about 3 minutes.
Add beef tips, milk, and mushroom soup.
Add salt and pepper to taste and stir well.
Reduce heat to simmer and stir in garlic, paprika, and sour cream.
Simmer lightly, without letting it boil (that will curdle it).
When noodles are finished and drained, serve with noodles on serving plate or individual plates, with sauce over it.
Garnish with parsley."
2,"Heat the avocado oil in a large saucepan over a medium heat. Add the neatly chopped onions and cook until tender for about 2 minutes.
Stir in the garlic and celery and cook until fragrant.
Add the cabbage, potatoes, carrots, Italian seasonings, onion powder, garlic powder, bouillon cubes, smoked paprika, and water. Cover the saucepan and bring to a boil.
Reduce the heat and let simmer for about 20 minutes.
Check the seasonings and adjust where necessary.
Remove and serve warm with any complimentary dish of your choice."
3,"Bring the chicken broth to a rolling boil. If using water and chicken stock cubes, bring the water to a boil, add the stock cubes and let dissolve.
Add the agnolotti and cook according to the instructions on the package.
Add the cream, freshly-ground black pepper, and chopped parsley about 2 minutes before the end of the cooking, and turn down the heat.
Add the dash of sherry just before serving. If serving to children, dish out their portions first, then add the sherry for the grown-ups.
Let stand for a few minutes to marry the flavors, then serve, sprinkled with grated Parmesan cheese and enjoy."
4,"Soak bread in water and squeeze hard to drain.
Combine soaked bread, ground meat, bread crumbs, oil or melted butter, onion, cheese, parsley, salt, pepper, and mint, and mix thoroughly.
Form mixture into 1 inch-thick patties, then sprinkle with salt, pepper, and oregano.
Roll in flour and fry in hot oil.
Serve hot with French fries or mashed potatoes."
5,"Cut off inedible tips of vegetables. Wash and slice them into 1-inch squares.
Sauté vegetables in half the oil and remove them from the frying pan.
Sauté onion and tomatoes in the remaining oil, and season with parsley, salt, and pepper.
Put everything in a stock pot with a cup of water, cover tightly, and simmer until almost all moisture has cooked away.
Serve hot, accompanied by steak, meatballs, or any other main dish."
6,"Clean the chicken and cut into small pieces. Combine with all the marinade ingredients and mix well. Set aside for 30 minutes to let flavors seep in.
Fry cumin, fennel, and mustard seeds on a medium heat in a large pan.
Add garlic and ginger paste and fry.
Chop the onions into small pieces and fry in the pan.
Add the potatoes and fry.
In a separate pan, sear the chicken in batches and add it to bowl separately.
After the onions turn golden brown add the marinated chicken.
Add curry powder, coconut yogurt and turn to a low heat. Leave to cook for 35–40 minutes.
Finely chop fresh coriander and a dash of lemon juice to the curry.
Serve with rice or naan bread"
7,"In small bowl, combine garlic, ginger root, chilies, scallion whites, and black beans.
In another small bowl, combine ¼ cup stock, soy sauce, sugar, and sesame oil, and stir until sugar dissolves.
In a third small bowl, dissolve cornstarch in wine or sherry.
Scrub clams, if using, cut shellfish into 1-inch pieces or thinly slice poultry or meat.
Just before serving, heat a wok over high heat.
Swirl in canola oil.
Stir-Fry onion and bell pepper for a minute then add garlic and bean mixture and cook for 15 seconds, or until fragrant but not brown.
Add seafood and stir-fry for 1 minute.
Add stock-based sauce and cook for 2 to 5 minutes, or until seafood is cooked; if necessary to prevent mixture from sticking to pan, add remaining stock. (If steaming clams, tightly cover wok.)
Stir cornstarch mixture and add to stir-fry along with scallion greens and sliced vegetables.
Bring sauce to a boil.
Serve immediately along with white rice if desired."
8,"Cut eggplant into 5 mm slices. Lay the slices out and sprinkle liberally with salt. This leaches out the bitterness. Leave these for at least an hour.
Heat olive oil in a saucepan and add onion and garlic. Sauté these until the onion starts to change colour. Add the meat and brown thoroughly.
Add bay leaves and cinnamon stick, and continue to stir the meat until all the moisture from the meat is gone.
Add tomatoes, herbs and sauces. Mix through and allow to cook for 15 minutes, stirring occasionally.
Add wine and continue to cook until the sauce is very thick. It should have very little moisture in it all. Remove the bay leaves and cinnamon stick, and allow to cool.
In another saucepan, melt butter over a low heat. Remove from heat and add the flour. Blend this through thoroughly, then return to the heat and cook gently for 3 minutes, stirring continuously so that it does not catch (burn). Remove from heat and add the milk. Mix this through then return to the heat and allow mixture to boil. Allow sauce to cook gently for one minute, stirring continuously. Remove from heat, add cheeses, nutmeg, cinnamon and pepper and mix through. Allow to cool.
Rinse the slices of eggplant under running water and dry on paper towels. Heat olive oil in a frying pan. Place slices of eggplant in the pan and quickly turn to coat both sides in the hot oil. Fry until the slices are cooked (when they change colour and become soft). Drain and repeat with remaining slices.
In a large casserole dish, lay slices of eggplant to cover the bottom. Cover with a layer of the meat sauce. Repeat layering eggplant and meat sauce until within 3 cm of the top of the dish.
Add the egg to the cool, cheese sauce and mix through thoroughly. Spoon this on the top layer in the casserole dish and sprinkle with extra grated cheese. Bake at 200 °C (400 °F) for 45 minutes. Remove from oven and allow to cool and set for 10 minutes.
Serve with a tossed Greek salad, red wine and crusty garlic bread."
9,"Combine chicken, broth, onions, scallions, carrots, garlic, bay leaf, thyme, cumin, cilantro and peppercorns in large saucepan and bring to a boil. Skim off froth as it rises. Reduce heat to low and cover when frothing finishes.
Remove and reserve chicken after it is cooked through (about 20 minutes).
Strain broth through sieve and return to pot, boil again over medium heat. Reserve carrots.
Add tomato paste and yellow and purple potatoes. Cover and cook until potatoes are soft (approximately 20 minutes).
While yellow and purple potatoes are cooking, boil sliced mashing potatoes in water and beef bouillon in separate pot. Once boiling, reduce to medium heat until potatoes start to fall apart (approximately 30 minutes).
Drain and reserve a quarter of the slices and mash the rest of the sliced potatoes. Add mashed and sliced potatoes to soup.
Remove bones and skin from chicken and discard. Cut chicken into strips 1 cm wide and 3 cm long.
Add chicken and peas to soup and simmer for 5 minutes. Slice the carrots into .5 cm thick rounds and add back into soup. Salt to taste.
Serve hot with garnishes available."
10,"Place the mushrooms in a medium bowl and fill with hot water to cover. Set aside to reconstitute.
Place the flour in a shallow bowl. Dredge each piece of chicken through the flour to lightly coat on all sides. Set aside.
In a large stock pot over medium-high heat, combine the butter and olive oil.
When the fat begins to sizzle, add the chicken and cook, turning as needed, until lightly browned on all sides, about 5 to 7 minutes. Remove the meat from the pot and set aside.
Reduce heat to medium, and add the onion, garlic, thyme, basil, and rosemary. Sauté until onions begin to brown, about 5 minutes.
Increase heat to high and add broth and water. Bring the broth to a simmer.
Meanwhile, cut the meat into bite-size pieces.
Drain the mushrooms and squeeze any liquid from them.
When the broth is simmering, lower heat to medium-high and add the meat, mushrooms, peas, and carrots.
Return to a simmer, and cook until the carrots are tender, about 5 minutes.
Add the pasta and celery and cook until just tender, about another 5 minutes.
Stir in the parsley and lemon juice, then season to taste with salt and pepper."
