ingredient_id,ingredient_name,allergen_id,allergen_name,status,note
1,Milk (whole),1,Milk,contains,Named milk-derived ingredient.
2,Buttermilk (whole),1,Milk,contains,Named milk-derived ingredient.
3,Evaporated milk (whole),1,Milk,contains,Named milk-derived ingredient.
4,"Yogurt (whole milk, plain)",1,Milk,contains,Named milk-derived ingredient.
5,"Greek yogurt (whole milk, plain)",1,Milk,contains,Named milk-derived ingredient.
6,Half-and-half cream,1,Milk,contains,Named milk-derived ingredient.
7,Heavy cream,1,Milk,contains,Named milk-derived ingredient.
8,Sour cream,1,Milk,contains,Named milk-derived ingredient.
9,Cheddar cheese,1,Milk,contains,Named milk-derived ingredient.
10,Feta cheese,1,Milk,contains,Named milk-derived ingredient.
11,Mozzarella cheese (part-skim),1,Milk,contains,Named milk-derived ingredient.
12,Parmesan cheese (dry grated),1,Milk,contains,Named milk-derived ingredient.
13,Mexican cheese blend,1,Milk,contains,Named milk-derived ingredient.
14,Cottage cheese,1,Milk,contains,Named milk-derived ingredient.
15,Ricotta cheese,1,Milk,contains,Named milk-derived ingredient.
28,Anchovies (canned),3,Fish,contains,Named fish ingredient.
29,Mackerel (canned),3,Fish,contains,Named fish ingredient.
30,"Salmon (fresh, raw)",3,Fish,contains,Named fish ingredient.
31,Salmon (canned),3,Fish,contains,Named fish ingredient.
32,"Sardines (canned, in oil)",3,Fish,contains,Named fish ingredient.
33,"Tuna (fresh, raw)",3,Fish,contains,Named fish ingredient.
34,Mussels (raw),10,Mollusc,contains,Named mollusc ingredient.
35,Oysters (raw),10,Mollusc,contains,Named mollusc ingredient.
44,Tofu,8,Soybean,derived_from,Soy is named or is the conventional base of this ingredient.
45,Textured vegetable protein (dry),8,Soybean,derived_from,Soy is named or is the conventional base of this ingredient.
46,Almonds (unsalted),5,Tree nut,contains,Named tree-nut ingredient.
47,Cashews (unsalted),5,Tree nut,contains,Named tree-nut ingredient.
48,Pecans (unsalted),5,Tree nut,contains,Named tree-nut ingredient.
49,Pistachios (unsalted),5,Tree nut,contains,Named tree-nut ingredient.
52,Sesame seeds,9,Sesame,contains,Named sesame ingredient.
106,Celery,11,Celery,contains,Named celery ingredient.
129,Butter,1,Milk,contains,Named milk-derived ingredient.
130,Ghee,1,Milk,contains,Named milk-derived ingredient.
134,Sesame oil,9,Sesame,contains,Named sesame ingredient.
139,Cooking cream,1,Milk,contains,Named milk-derived ingredient.
140,Cream cheese,1,Milk,contains,Named milk-derived ingredient.
146,Eggs,2,Egg,contains,Named egg ingredient.
148,Scallops,10,Mollusc,contains,Named mollusc ingredient.
149,Barley,15,Gluten cereals,derived_from,Contains or is derived from a listed gluten cereal.
150,Bread,7,Wheat,derived_from,Wheat is named or is the conventional base of this ingredient.
150,Bread,15,Gluten cereals,derived_from,Contains or is derived from a listed gluten cereal.
151,Couscous,7,Wheat,derived_from,Wheat is named or is the conventional base of this ingredient.
151,Couscous,15,Gluten cereals,derived_from,Contains or is derived from a listed gluten cereal.
152,Pasta,7,Wheat,derived_from,Wheat is named or is the conventional base of this ingredient.
152,Pasta,15,Gluten cereals,derived_from,Contains or is derived from a listed gluten cereal.
154,Flour (all purpose),7,Wheat,derived_from,Wheat is named or is the conventional base of this ingredient.
154,Flour (all purpose),15,Gluten cereals,derived_from,Contains or is derived from a listed gluten cereal.
157,Shrimp,4,Crustacean shellfish,contains,Named crustacean ingredient.
158,Fish,3,Fish,contains,Named fish ingredient.
159,Crab,4,Crustacean shellfish,contains,Named crustacean ingredient.
161,Peanuts,6,Peanut,contains,Named peanut ingredient.
162,Oats,15,Gluten cereals,derived_from,Contains or is derived from a listed gluten cereal.
